Transaction ID,Lecturer Code,Lecturer Name,Course Code,Course Description,Class Code,Meeting Time Start,Meeting Time End,Transaction Date,Transaction Link,Status Description
214,LC111,Prof. Miller Taylor,STUV8912,Internet of Things Applications,TIB-95,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
215,LC222,Dr. Wilson Brown,EFGH5678,Sustainable Engineering Systems,FQX-36,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
216,LC333,Ms. Moore Thompson,MNOP3782,Global Supply Chain,QRW-93,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
217,LC444,Mr. Martinez Johnson,IJKL1209,Data & Text Mining,PLW-68,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
218,LC555,Dr. Mitchell White,YZAB3456,Financial Management,JDV-97,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
219,LC666,Prof. Turner Parker,CEFF1922,Big Data Analytics,TIB-95,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
220,LC777,Ms. Parker Phillips,MNOP2345,Digital Design Production,HFS-78,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
221,LC888,Mr. Phillips Davis,MNOP3456,Scientific Computing,UKU-91,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
222,LC999,Dr. Cooper Robinson,GHIJ2345,Visual Storytelling,FDD-80,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
223,LC121,Prof. Bennett Carter,MNOP3782,Global Supply Chain,KCN-51,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
224,LC232,Ms. Reed Foster,QRST9281,Accounting Principles,OPZ-14,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
225,LC343,Mr. Foster Williams,MNOP3456,Scientific Computing,CLI-69,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
226,LC454,Dr. Coleman Harris,CEFF1922,Big Data Analytics,OPZ-14,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
227,LC565,Prof. Russell Turner,OPQR9012,Digital Security and Privacy,HFS-78,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
228,LC676,Ms. Hayes Longfellow,STUV5678,Cloud Computing Technologies,KFF-80,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
229,LC787,Mr. Jenkins Jefferson,CEFF1922,Big Data Analytics,FQX-36,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
230,LC898,Dr. Fisher Miller,STUV8912,Internet of Things Applications,APV-04,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
231,LC909,Prof. Simpson Anderson,STUV5678,Cloud Computing Technologies,YAO-62,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
232,LC131,Ms. Wells Smith,STUV5678,Cloud Computing Technologies,WFW-47,13:20,15:00,12/29/2023 00:00:00,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
