Transaction ID;Lecturer Code;Lecturer Name;Course Code;Course Description;Class Code;Meeting Time Start;Meeting Time End;Transaction Date;Transaction Link;Status Description
214;LC111;Prof. Miller Taylor;ABCD1234;Research Methodology;YMD-34;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
215;LC222;Dr. Wilson Brown;PQRT9012;Advanced Machine Learning;NHE-26;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
216;LC333;Ms. Moore Thompson;EFGH1234;Fundamental In Game Balancing;FKQ-51;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
217;LC444;Mr. Martinez Johnson;ABCD9921;Tropical Architecture;ZVR-25;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
218;LC555;Dr. Mitchell White;WXYZ1234;Product & Brand Strategy;YAO-62;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
219;LC666;Prof. Turner Parker;IJKL9012;Social Media Broadcasting;HFS-78;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
220;LC777;Ms. Parker Phillips;CDEF9012;Tourism Destination and Planning Management;AVN-05;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
221;LC888;Mr. Phillips Davis;EFGH5678;Sustainable Engineering Systems;PLW-68;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
222;LC999;Dr. Cooper Robinson;YZAB2345;Mobile Application Design;GPG-10;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
223;LC121;Prof. Bennett Carter;WXYZ3456;Introduction to Machine Learning;EVS-32;13:20;15:00;01/05/2024 00:00:00;zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=;None
