No,Lecturer Name,Lecturer Code,Link Zoom,Status ▾
1,Prof. Miller Taylor,LC111,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
2,Dr. Wilson Brown,LC222,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
3,Ms. Moore Thompson,LC333,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
4,Mr. Martinez Johnson,LC444,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
5,Dr. Mitchell White,LC555,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
6,Prof. Turner Parker,LC666,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
7,Ms. Parker Phillips,LC777,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
8,Mr. Phillips Davis,LC888,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
9,Dr. Cooper Robinson,LC999,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
10,Prof. Bennett Carter,LC121,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
11,Ms. Reed Foster,LC232,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
12,Mr. Foster Williams,LC343,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
13,Prof. Russell Turner,LC565,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
14,Dr. Coleman Harris,LC454,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
15,Ms. Hayes Longfellow,LC676,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
16,Mr. Jenkins Jefferson,LC787,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
17,Dr. Fisher Miller,LC898,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
18,Prof. Simpson Anderson,LC909,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
19,Prof. Anderson Rodriguez,LC781,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
20,Ms. Wells Smith,LC131,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
21,Dr. Foster Sanchez,LC492,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
22,Ms. Turner Reynolds,LC563,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
23,Prof. Sanchez Jefferson,LC236,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
24,Mr. Rodriguez Bennett,LC124,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
25,Ms. Reynolds Jenkins,LC657,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
26,Mr. Bennett Miller,LC408,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
27,Dr. Mitchell Taylor,LC895,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
28,Prof. Coleman Wilson,LC530,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
29,Ms. Parker Hayes,LC841,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
30,Dr. Taylor Carter,LC719,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
31,Dr. Wells Miller,LC303,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
32,Prof. Russell Davis,LC654,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
33,Mr. Jenkins Russell,LC972,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
34,Mr.Miller Cooper,LC879,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
35,Dr. Fisher Longfellow,LC945,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
36,Ms. Hayes Jefferson,LC126,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
37,Ms. Longfellow Anderson,LC608,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
38,Mr. Jefferson Anto,LC231,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
39,Prof. Cooper Parker,LC317,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
40,Dr. Brown Williams,LC456,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
41,Ms. Thompson Robinson,LC567,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
42,Prof. Taylor Bennett,LC345,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
43,Dr. White Jenkins,LC789,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
44,Mr. Wilson Parker,LC890,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
45,Mr. Johnson Davis,LC678,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
46,Dr. Rodriguez Jenkins,LC901,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
47,Prof. Carter Rodriguez,LC334,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
48,Ms. Foster Turner,LC445,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
49,Dr. Harris Russell,LC667,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
50,Prof. Turner Cooper,LC778,zoommtg://zoom.us/join?confno=8832108083&pwd=&uname=,None
